pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
zeus.pcap,192.168.10.1__80__192.168.10.5__1058,http,TCP,0.010741,913,9,501,412,5,4,100.2,103.0,60,60,259,230,79.40377824763756,73.32803011127464,46643.70170375197840052136673,38357.69481426310399404152314,0.000086,0.009107,0.001342625,0.002939081826757295302915207748,1058,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1059,http,TCP,0.055537,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,10263.42798494697228874444064,7238.417631488917298377658138,0.000078,0.054656,0.006942125,0.01803418619204578912290288234,1059,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1060,http,TCP,0.054814,937,9,525,412,5,4,105.0,103.0,60,60,283,230,89.00337072268668,73.32803011127464,9577.845076075455175685043967,7516.327945415404823585215456,0.000081,0.053893,0.00685175,0.01777995355554957573185567206,1060,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1062,http,TCP,0.054137,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,10528.84348966510889040766943,7425.605408500655743761198441,0.000072,0.053266,0.006767125,0.01757496180961355602797325968,1062,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1063,http,TCP,0.054934,937,9,525,412,5,4,105.0,103.0,60,60,283,230,89.00337072268668,73.32803011127464,9556.922852877999053409546001,7499.908981687115447628062766,0.000085,0.054020,0.00686675,0.01782228462312001120960286656,1063,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1064,http,TCP,0.054258,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,10505.36326440340594935309079,7409.045670684507353754285082,0.000079,0.053397,0.00678225,0.01761875014544164537344385360,1064,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1065,http,TCP,0.053734,937,9,525,412,5,4,105.0,103.0,60,60,283,230,89.00337072268668,73.32803011127464,9770.350243793501321323556780,7667.398667510328655972010273,0.000084,0.052734,0.00671675,0.01739297186186133056839590174,1065,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1066,http,TCP,0.103279,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,5519.030974351029734989688126,3892.369213489673602571674784,0.000082,0.053281,0.012909875,0.02217892725898561127250324495,1066,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1067,http,TCP,0.054859,937,9,525,412,5,4,105.0,103.0,60,60,283,230,89.00337072268668,73.32803011127464,9569.988516013780783463059844,7510.162416376528919593867916,0.000115,0.053803,0.006857375,0.01774379313969746999653954700,1067,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1069,http,TCP,0.053952,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,10564.94661921708185053380783,7451.067615658362989323843416,0.000081,0.053083,0.006744,0.01751452564301985313690974982,1069,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
