pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
jsql_get_search_0.pcap,192.168.16.1__58206__192.168.16.2__80,http,TCP,0.094750,1479,10,669,810,6,4,111.5,202.5,66,66,331,604,98.20683954457212,231.82913966971452,7060.686015831134564643799472,8548.812664907651715039577836,0.000006,0.084437,0.01052777777777777777777777778,0.02624338871147795187231260679,58206,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58208__192.168.16.2__80,http,TCP,0.094148,1481,10,671,810,6,4,111.83333333333333,202.5,66,66,333,604,98.95186820986365,231.82913966971452,7127.076517823002081828610273,8603.475379190211156901899138,0.000005,0.084200,0.01046088888888888888888888889,0.02620917689768835505950164512,58208,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58210__192.168.16.2__80,http,TCP,0.090617,1482,10,672,810,6,4,112.0,202.5,66,66,334,604,99.32438438436623,231.82913966971452,7415.827052319101272388183233,8938.720107706059569396470861,0.000008,0.068885,0.01006855555555555555555555556,0.02134148175690354715020169465,58210,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58212__192.168.16.2__80,http,TCP,0.085003,1476,10,666,810,6,4,111.0,202.5,66,66,328,604,97.08930596792489,231.82913966971452,7835.017587614554780419514605,9529.075444396080138348058304,0.000004,0.079687,0.009444777777777777777777777778,0.02484394861162943137150992730,58212,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58214__192.168.16.2__80,http,TCP,0.084990,1475,10,665,810,6,4,110.83333333333333,202.5,66,66,327,604,96.71679734611196,231.82913966971452,7824.449935286504294622896811,9530.533003882809742322626191,0.000007,0.080908,0.009443333333333333333333333333,0.02527579792783778545155139474,58214,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58216__192.168.16.2__80,http,TCP,0.072624,7176,17,4557,2619,10,7,455.7,374.14285714285717,66,66,1312,604,502.00120517783614,264.5618634494336,62747.85194976867151354923992,36062.45869134170522141440846,0.000011,0.049342,0.004539,0.01180720142540136392332440060,58216,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58218__192.168.16.2__80,http,TCP,0.088491,6618,14,4065,2553,8,6,508.125,425.5,66,66,1147,604,460.8208538846739,251.3873173677092,45936.87493643421364884564532,28850.39156524392311082482964,0.000019,0.040710,0.006807,0.01158615575058971304708764862,58218,80,SPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58220__192.168.16.2__80,http,TCP,0.060477,3406,13,1993,1413,8,5,249.125,282.6,66,66,802,604,314.90531811165084,262.03022726395517,32954.67698463878829968417746,23364.25417927476561337367925,0.000011,0.047975,0.00503975,0.01303097687643434760870947036,58220,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58222__192.168.16.2__80,http,TCP,0.111795,10988,18,7229,3759,10,8,722.9,469.875,66,66,1387,604,567.607161688434,230.87682728026215,64662.99923967977100943691578,33624.04400912384274788675701,0.000015,0.040094,0.006576176470588235294117647059,0.01223357417945190084810715899,58222,80,SPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58224__192.168.16.2__80,http,TCP,0.056332,3185,13,1772,1413,8,5,221.5,282.6,66,66,967,604,302.21019175401744,262.03022726395517,31456.36583114393240076688206,25083.43392743023503514876092,0.000009,0.046590,0.004694333333333333333333333333,0.01268118979915615892057345260,58224,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
