pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
normal_traffic_1.pcap,192.168.16.1__80__192.168.16.2__50760,http,TCP,5.295588,17426,18,1454,15972,9,9,161.55555555555554,1774.6666666666667,66,66,389,11323,134.5677120850409,3556.0662723483283,274.5681877064454409972981282,3016.095663031187471532906261,0.000007,5.015353,0.3115051764705882352941176471,1.177597847553691185495067184,50760,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,404,274,text/html; charset=iso-8859-1,Apache/2.4.41 (Ubuntu)
normal_traffic_1.pcap,192.168.16.1__80__192.168.16.2__50776,http,TCP,0.000402,202,3,128,74,2,1,64.0,74.0,54,74,74,74,10.0,0.0,318407.9601990049751243781095,184079.6019900497512437810945,0.000012,0.000390,0.000201,0.000189,50776,80,SRA,none,none,none,none,none,none,none,none,none
normal_traffic_1.pcap,192.168.16.1__80__192.168.16.2__50778,http,TCP,0.001164,1387,10,624,763,6,4,104.0,190.75,54,66,310,557,92.39769116884541,211.479756714443,536082.4742268041237113402062,655498.2817869415807560137457,0.000005,0.000370,0.0001293333333333333333333333333,0.0001196671309183195142179456131,50778,80,FSRPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,404,274,text/html; charset=iso-8859-1,Apache/2.4.41 (Ubuntu)
normal_traffic_1.pcap,192.168.16.1__80__192.168.16.2__50872,http,TCP,5.286696,17579,18,1607,15972,9,9,178.55555555555554,1774.6666666666667,66,66,440,11323,158.4095333207998,3556.0662723483283,303.9705706550934648029695674,3021.168608900530690624162993,0.000007,5.007365,0.3109821176470588235294117647,1.175652230709399096136747470,50872,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,404,274,text/html; charset=iso-8859-1,Apache/2.4.41 (Ubuntu)
normal_traffic_1.pcap,192.168.16.2__59088__192.168.16.5__80,http,TCP,14.798900,414564,202,11250,403314,98,104,114.79591836734694,3878.019230769231,54,66,523,8324,126.97918511601826,2802.18514659257,760.1916358648277912547554210,27252.97150463885829352181581,0.000000,7.524817,0.07362636815920398009950248756,0.6199532414090644564962676906,59088,80,FSRPA,GET,HTTP/1.1,"text/css,*/*;q=0.1",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,6257,text/css,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59090__192.168.16.5__80,http,TCP,12.330609,30290,35,4023,26267,21,14,191.57142857142858,1876.2142857142858,54,66,495,4410,179.67790531911245,1582.4691907888503,326.2612576556437723392250942,2130.227306696692758646389647,0.000000,10.045642,0.3626649705882352941176470588,1.722140342921588771826381345,59090,80,FSRPA,GET,HTTP/1.1,"text/css,*/*;q=0.1",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,6172,text/css,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59092__192.168.16.5__80,http,TCP,29.766229,17963,35,3494,14469,20,15,174.7,964.6,66,66,447,4410,165.8526755889093,1192.7729484971844,117.3813451478855450584620578,486.0877741685048515886913320,0.000004,10.255225,0.8754773235294117647058823529,2.501104417740275940853776157,59092,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,274,image/png,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59094__192.168.16.5__80,http,TCP,12.039380,43522,44,3405,40117,25,19,136.2,2111.4210526315787,54,66,442,7306,142.57264814823353,2090.3857945563786,282.8218728871420289084653861,3332.148333219816967318915094,0.000000,7.674506,0.2799855813953488372093023256,1.313777786914518819479152053,59094,80,FSRPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,481,image/x-icon,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59096__192.168.16.5__80,http,TCP,12.151313,87243,61,5581,81662,34,27,164.14705882352942,3024.5185185185187,54,66,523,10202,166.26876406323044,2671.826596313499,459.2919300161225375397703935,6720.426014867693721657898204,0.000000,7.667730,0.2025218833333333333333333333,1.112363097359057659281538754,59096,80,FSRPA,GET,HTTP/1.1,"text/css,*/*;q=0.1",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,2535,text/css,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59100__192.168.16.5__80,http,TCP,5.266362,552,8,338,214,5,3,67.6,71.33333333333333,66,66,74,74,3.1999999999999997,3.7712361663282534,64.18092793469191825400532664,40.63526206515997191229923047,0.000012,3.997763,0.7523374285714285714285714286,1.395256905586193177925841172,59100,80,FSA,none,none,none,none,none,none,none,none,none
normal_traffic_1.pcap,192.168.16.2__59102__192.168.16.5__80,http,TCP,15.066652,8913,17,1444,7469,9,8,160.44444444444446,933.625,66,66,495,4410,174.6094760767653,1429.4236546157335,95.84080126095697969263509903,495.7305710651576740472933204,0.000006,10.115856,0.94166575,2.644719517853228325586558112,59102,80,FSPA,GET,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,5457,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59108__192.168.16.5__80,http,TCP,21.516346,71749,67,7321,64428,35,32,209.17142857142858,2013.375,66,66,776,8988,250.52772708986984,2551.8896889119246,340.2529407177222377814522968,2994.374602453409142983664606,0.000000,10.019375,0.3260052424242424242424242424,1.524446405036188673784027597,59108,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,272,image/png,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59110__192.168.16.5__80,http,TCP,15.067768,9563,17,1541,8022,9,8,171.22222222222223,1002.75,66,66,546,4410,194.79321102576546,1449.9236833364714,102.2712853025079759656506524,532.3947116785976529503241621,0.000005,10.003503,0.9417355,2.631253953653371710216886353,59110,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,5658,image/png,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
normal_traffic_1.pcap,192.168.16.2__59112__192.168.16.5__80,http,TCP,5.862449,552,8,338,214,5,3,67.6,71.33333333333333,66,66,74,74,3.1999999999999997,3.7712361663282534,57.65508578411513686515652418,36.50351585148118132882691176,0.000010,3.798719,0.8374927142857142857142857143,1.402893224644567400321892693,59112,80,FSA,none,none,none,none,none,none,none,none,none
normal_traffic_1.pcap,192.168.16.2__59114__192.168.16.5__80,http,TCP,14.994694,1894,12,880,1014,6,6,146.66666666666666,169.0,66,66,542,676,176.82257271689673,226.75610980375663,58.68742636561973188649264867,67.62392083493000924193584744,0.000006,10.212746,1.363154,3.114479905910134460182310161,59114,80,FSPA,GET,HTTP/1.1,"image/webp,*/*",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,229,image/png,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
