pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
broken_auth_0.pcap,192.168.16.2__59746__192.168.16.5__80,http,TCP,0.002061,1723,10,885,838,5,5,177.0,167.6,66,66,613,566,218.02201723679192,199.22409492829925,429403.2023289665211062590975,406598.7384764677341096555070,0.000000,0.000752,0.000229,0.0002554203507075259568295215631,59746,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59748__192.168.16.5__80,http,TCP,0.014081,1716,10,878,838,5,5,175.6,167.6,66,66,606,566,215.22230367691913,199.22409492829925,62353.52602798096726084795114,59512.81869185427171365670052,0.000000,0.009410,0.001564555555555555555555555556,0.002950802267975839485950058632,59748,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59750__192.168.16.5__80,http,TCP,0.001986,1719,10,881,838,5,5,176.2,167.6,66,66,609,566,216.42218000935117,199.22409492829925,443605.2366565961732124874119,421953.6757301107754279959718,0.000000,0.000597,0.0002206666666666666666666666667,0.0001910596183859315096841516966,59750,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59752__192.168.16.5__80,http,TCP,0.002359,1717,10,879,838,5,5,175.8,167.6,66,66,607,566,215.6222623014609,199.22409492829925,372615.5150487494701144552777,355235.2691818567189487070793,0.000000,0.000601,0.0002621111111111111111111111111,0.0002184330278468001909282025018,59752,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59754__192.168.16.5__80,http,TCP,0.002005,1715,10,877,838,5,5,175.4,167.6,66,66,605,566,214.82234520645193,199.22409492829925,437406.4837905236907730673317,417955.1122194513715710723192,0.000000,0.000584,0.0002227777777777777777777777778,0.0001942110980795998450380724774,59754,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59756__192.168.16.5__80,http,TCP,0.002344,1725,10,887,838,5,5,177.4,167.6,66,66,615,566,218.82193674309713,199.22409492829925,378412.9692832764505119453925,357508.5324232081911262798635,0.000000,0.000752,0.0002604444444444444444444444444,0.0002393886245840576978276200777,59756,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59760__192.168.16.5__80,http,TCP,0.007071,5758,10,919,4839,5,5,183.8,967.8,66,66,647,4410,231.62072446134866,1722.1401104439788,129967.4727761278461320888135,684344.5057276198557488332626,0.000015,0.003747,0.0007856666666666666666666666667,0.001224703501532785961792888589,59760,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,4086,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_2.pcap,192.168.16.2__59826__192.168.16.5__80,http,TCP,0.004421,15564,15,1139,14425,8,7,142.375,2060.714285714286,66,66,669,4410,199.0627649134815,1943.2056515154623,257634.0194526125311015607329,3262836.462338837367111513232,0.000003,0.002052,0.0003157857142857142857142857143,0.0005227084927254835973175501366,59826,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,none,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_2.pcap,192.168.16.2__59828__192.168.16.5__80,http,TCP,0.002456,15568,15,1143,14425,8,7,142.875,2060.714285714286,66,66,673,4410,200.38552686010036,1943.2056515154623,465390.8794788273615635179153,5873371.335504885993485342020,0.000004,0.000787,0.0001754285714285714285714285714,0.0002024587133522410241615779074,59828,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,none,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_2.pcap,192.168.16.2__59830__192.168.16.5__80,http,TCP,0.002535,15571,15,1146,14425,8,7,143.25,2060.714285714286,66,66,676,4410,201.37759930041872,1943.2056515154623,452071.0059171597633136094675,5690335.305719921104536489152,0.000004,0.000757,0.0001810714285714285714285714286,0.0001973696547401471692587702498,59830,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,200,none,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
