pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack
zeus.pcap,192.168.10.1__80__192.168.10.5__1113,http,0.0,0.0006898101804341967,0.0005649529759728822,0.01744186046511628,0.009457926967566341,0.0003235255669183058,0.01775147928994083,0.022727272727272728,0.04225852272727273,0.014235124944405455,0.5,0.8108108108108109,0.12945166760881854,0.007230517771559963,0.1421285867404763,0.008536538497301594,0.009497512815744331,0.0007680109834113915,2.940193317710639e-05,0.0006468145149449746,0.0007711384609245591,0.0006728756422827523,0.717948717948718,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1034,http,0.0,0.8076312473680812,0.000688491286575648,0.020348837209302327,0.012769335450215469,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.047920612373737355,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,7.075665850380934e-06,6.961217927266542e-07,3.0802025233159076e-05,0.7807561868221649,0.8080236857019699,0.7817734172746839,0.038461538461538464,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
broken_auth_0.pcap,192.168.16.2__59742__192.168.16.5__80,http,0.0,1.4311345999598507e-05,0.0011046203328165434,0.020348837209302327,0.017441596733953277,0.000611996444870294,0.01775147928994083,0.028409090909090908,0.10059185606060607,0.02154227485943435,1.0,0.8918918918918919,0.3114754098360656,0.015679973404992106,0.3430476405168904,0.019604265497332043,0.6308426051345964,0.05774681493447917,0.0,2.2174448709235718e-06,8.647484235822051e-06,2.7638381524097742e-06,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
http_traff.pcap,192.168.16.20__80__192.168.16.22__42480,http,0.0,0.041299059622347443,0.00016327285494868463,0.00872093023255814,0.0037196643229757314,0.0001022428428184262,0.011834319526627219,0.011363636363636364,0.011600378787878788,0.008997370168021506,1.0,0.8918918918918919,0.011305822498586773,0.002050031858603208,0.005531788997283812,0.0003936123389972005,7.9240088002976e-05,4.072013573626645e-06,8.750575350329283e-06,0.047185500077034974,0.07437177880587116,0.06053888989331917,0.1794871794871795,0.0,0.2,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,0.7777777777777778,0.0
normal_traffic_1.pcap,192.168.16.2__59132__192.168.16.5__80,http,0.0,0.12391943453782649,0.002753965146302592,0.03488372093023256,0.0404853708323883,0.0015372941723770512,0.03550295857988166,0.03977272727272727,0.15132279829545453,0.038651967762623,1.0,0.8918918918918919,0.390616167326173,0.028284899022079396,0.46826121270959653,0.036985002702977506,0.00018821253217478663,2.040590715181705e-05,4.2002761681580566e-06,0.09571121439812055,0.07969497570357321,0.08496014763507961,0.7435897435897436,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.625,0.0,0.8372093023255814,0.4666666666666667,0.1111111111111111,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1107,http,0.0,0.0004389280734129603,0.0005678427610162218,0.01744186046511628,0.010478566568382853,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.04971590909090909,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.01616619792870982,0.0010924691276200155,2.6601749065001024e-05,0.0004935088689113777,0.0004887569635431219,0.0005223063494110336,0.6538461538461539,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1062,http,0.0,0.9994888545458794,0.0006393649408388757,0.020348837209302327,0.011000226808800181,0.0003490862776229123,0.023668639053254437,0.022727272727272728,0.03714883207070705,0.015359796215408143,0.5,0.8108108108108109,0.13397399660825324,0.008200127434412832,0.13724095077032059,0.010027824760084108,4.097189004763735e-06,5.745168275046248e-07,2.380156495289565e-05,0.9999894789317827,0.999975866100392,1.0,0.14102564102564102,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
jsql_get_search_1.pcap,192.168.16.1__58272__192.168.16.2__80,http,0.0,0.0015932169934590543,0.000933400568998675,0.020348837209302327,0.012701292810161035,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.047506313131313115,0.026028106557490785,1.0,0.8918918918918919,0.15602035048049745,0.016732692467518077,0.15623065205217473,0.022812702478276253,0.005244071288146054,0.0006095568013019558,1.7501150700658568e-06,0.0017429588482240324,0.0015883314286538324,0.0017481630815600455,0.5641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
broken_auth_0.pcap,192.168.16.2__59712__192.168.16.5__80,http,0.0,5.039113288491061e-05,0.0011038978865557086,0.020348837209302327,0.01741891585393513,0.000611996444870294,0.01775147928994083,0.028409090909090908,0.10042613636363636,0.02154227485943435,1.0,0.8918918918918919,0.3109101187111362,0.015679973404992106,0.3424089511090637,0.019604265497332043,0.20527401927436859,0.01881227258127863,0.0,4.100857620865466e-05,4.474505609039422e-05,3.942094992635548e-05,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58206__192.168.16.2__80,http,0.0,0.0007793366097369361,0.0009341230152595099,0.020348837209302327,0.012723973690179179,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.04764441287878788,0.026028106557490785,1.0,0.8918918918918919,0.1565856416054268,0.016732692467518077,0.156825513453963,0.022812702478276253,0.010718238891387457,0.0012435923744134516,2.1001380840790283e-06,0.0007932979795246236,0.0007740498552670238,0.0007906588615280259,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
