pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack_sqlinj,attack_brokauth,attack_zeus
jsql_get_search_0.pcap,192.168.16.1__58196__192.168.16.2__80,http,0.0,0.000744024829301689,0.0009355679077811796,0.020348837209302327,0.01820003879226741,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.04918345966598877,0.026028106557490785,1.0,0.8918918918918919,0.15771622385528547,0.016732692467518077,0.1580152422296175,0.022812702478276253,0.012938238209498812,0.001302367282044284,3.5002301401317137e-06,0.0007959022977560062,0.0007387206684393449,0.000796553329143693,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58206__192.168.16.2__80,http,0.0,0.0007793366097369361,0.0009341230152595099,0.020348837209302327,0.018135385013254023,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.04889998151229433,0.026028106557490785,1.0,0.8918918918918919,0.1565856416054268,0.016732692467518077,0.156825513453963,0.022812702478276253,0.012317336760152547,0.0012435923744134516,2.1001380840790283e-06,0.0007932979795246236,0.0007740498552670238,0.0007906588615280259,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58054__192.168.16.2__80,http,0.0,0.004188731953056176,0.025009644657582146,0.22093023255813954,0.45215620353009633,0.01512390737090563,0.23668639053254437,0.21022727272727273,0.23947829455316974,0.07194074857511867,1.0,0.8918918918918919,0.3380440927077445,0.016732692467518077,0.2327176838792661,0.014353416404455937,0.048452011252303306,0.005934815168799395,4.550299182171227e-06,0.0016534401269880667,0.00047511979764562314,0.0007143023306136437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
broken_auth_0.pcap,192.168.16.2__59760__192.168.16.5__80,http,0.0,5.527169000306567e-05,0.004025470565371995,0.020348837209302327,0.02621710738992694,0.0035339508314168886,0.01775147928994083,0.028409090909090908,0.11038639304862267,0.12439506926587447,1.0,0.8918918918918919,0.3352176370830978,0.12217081751946145,0.3698728032454794,0.16946389923818792,0.2267945733219179,0.09955132275714737,5.25034521019757e-06,3.191233427005754e-05,4.9628019003195325e-05,3.34449590592493e-05,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,1.0,0.0
jsql_get_search_1.pcap,192.168.16.1__58230__192.168.16.2__80,http,0.0,0.00220865442024502,0.005121421543058519,0.06395348837209303,0.08854335035882847,0.0032337950571427946,0.07692307692307693,0.056818181818181816,0.11548899981512296,0.056914793005713185,1.0,0.8918918918918919,0.15997738835500283,0.016732692467518077,0.20978231485243376,0.024102521423317185,0.018545717419431975,0.0024050307914237424,5.25034521019757e-06,0.0013798357377229609,0.0008210308161180313,0.0008935150490443137,0.41025641025641024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58060__192.168.16.2__80,http,0.0,0.0015114366937279385,0.0023840726607551295,0.0377906976744186,0.04402922350811405,0.0014722969365853374,0.047337278106508875,0.03409090909090909,0.0790904048807543,0.04318737680650323,1.0,0.8918918918918919,0.15997738835500283,0.016732692467518077,0.1948441311142655,0.026307753841458854,0.013982966363676703,0.0015990377273573354,2.8001841121053708e-06,0.0010342351596699959,0.0009003888780966407,0.0008531347354345397,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
normal_traffic_1.pcap,192.168.16.2__59162__192.168.16.5__80,http,0.0,0.12423312801107562,0.0037661123577322703,0.03488372093023256,0.03688498092713519,0.0030307699835462054,0.03550295857988166,0.03977272727272727,0.08685061933814014,0.07620221672916175,1.0,0.8918918918918919,0.2091577162238553,0.06476992547857163,0.2456259113772118,0.08482472175750393,0.00014103617457985023,4.012859304713499e-05,2.1001380840790283e-06,0.09476335579312474,0.07989673519872098,0.08449705801968038,0.8846153846153846,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.625,0.0,0.0,0.4666666666666667,0.1111111111111111,0.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58176__192.168.16.2__80,http,0.0,0.0010780167956073799,0.0009312332302161704,0.020348837209302327,0.018006077455227257,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.04833302520490539,0.026028106557490785,1.0,0.8918918918918919,0.15432447710570943,0.016732692467518077,0.15444608006698865,0.022812702478276253,0.008860115191261154,0.0009000319091009223,2.1001380840790283e-06,0.0011296419047334351,0.0010728772708852494,0.0011291686543467483,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1073,http,0.0,0.000442330424568087,0.0005678427610162218,0.01744186046511628,0.014935022952091549,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.051026067665002776,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.01843617067961472,0.0010841248759268795,2.800184112105371e-05,0.0004974813978077982,0.000492586495370678,0.000526533222476485,0.28205128205128205,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1062,http,0.0,0.9994888545458794,0.0006393649408388757,0.020348837209302327,0.01567854141074546,0.0003490862776229123,0.023668639053254437,0.022727272727272728,0.038127811671904835,0.015359796215408143,0.5,0.8108108108108109,0.13397399660825324,0.008200127434412832,0.13724095077032059,0.010027824760084108,4.7084653787872785e-06,5.745168275046248e-07,2.380156495289565e-05,0.9999894789317827,0.999975866100392,1.0,0.14102564102564102,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
